                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.863,                 3.8131,                 3.1646,                0.69423,                0.01543,                0.00664,                0.00211,                      0,                    inf,                      0,               0.067015,             0.00033318,             0.00033318
                      1,                   2.95,                 2.7987,                 2.3643,                 0.2829,                0.06516,                0.04799,                0.01793,                      0,                    inf,                      0,               0.034013,             0.00066429,             0.00066429
                      2,                 2.3559,                 2.2127,                 1.9126,                0.22026,                0.13763,                0.11067,                0.04703,                      0,                    inf,                      0,              0.0010085,             0.00099319,             0.00099319
                      3,                 2.0447,                 1.8588,                   1.68,                0.29912,                0.19375,                 0.1692,                0.07922,                      0,                    inf,                      0,             0.00099001,             0.00099001,             0.00099001
                      4,                 1.8881,                 1.6728,                  1.564,                0.34149,                 0.2202,                0.20023,                0.09845,                      0,                    inf,                      0,             0.00099001,             0.00099001,             0.00099001
                      5,                 1.7997,                 1.5665,                 1.5033,                0.37012,                0.24129,                0.22147,                 0.1117,                      0,                    inf,                      0,             0.00098668,             0.00098668,             0.00098668
                      6,                 1.7403,                 1.4977,                 1.4644,                0.38194,                0.25735,                0.23733,                0.12164,                      0,                    inf,                      0,             0.00098335,             0.00098335,             0.00098335
                      7,                 1.6985,                 1.4449,                 1.4332,                0.39765,                0.27128,                0.24844,                0.12829,                      0,                    inf,                      0,             0.00098002,             0.00098002,             0.00098002
                      8,                 1.6624,                 1.4048,                 1.4111,                0.40453,                0.27338,                0.25636,                0.13312,                      0,                    inf,                      0,             0.00097669,             0.00097669,             0.00097669
                      9,                 1.6365,                 1.3714,                 1.3913,                 0.4062,                0.27724,                0.26345,                0.13778,                      0,                    inf,                      0,             0.00097336,             0.00097336,             0.00097336
                     10,                 1.6122,                 1.3424,                 1.3754,                0.42169,                0.28884,                0.27144,                0.14208,                      0,                    inf,                      0,             0.00097003,             0.00097003,             0.00097003
                     11,                 1.5945,                 1.3181,                 1.3625,                0.42981,                0.29165,                0.27889,                0.14741,                      0,                    inf,                      0,              0.0009667,              0.0009667,              0.0009667
                     12,                 1.5759,                 1.2958,                 1.3503,                0.44177,                0.29695,                0.28678,                0.15224,                      0,                    inf,                      0,             0.00096337,             0.00096337,             0.00096337
                     13,                 1.5619,                 1.2786,                 1.3414,                 0.4555,                0.30006,                0.29587,                0.15753,                      0,                    inf,                      0,             0.00096004,             0.00096004,             0.00096004
                     14,                 1.5481,                 1.2601,                 1.3292,                0.46964,                0.29953,                0.30339,                0.16264,                      0,                    inf,                      0,             0.00095671,             0.00095671,             0.00095671
                     15,                 1.5368,                  1.244,                 1.3214,                0.47413,                0.30293,                0.31075,                 0.1671,                      0,                    inf,                      0,             0.00095338,             0.00095338,             0.00095338
                     16,                 1.5261,                 1.2327,                 1.3159,                0.48955,                0.30784,                0.31863,                0.17218,                      0,                    inf,                      0,             0.00095005,             0.00095005,             0.00095005
                     17,                  1.515,                 1.2183,                 1.3073,                0.49733,                0.31663,                0.32784,                0.17822,                      0,                    inf,                      0,             0.00094672,             0.00094672,             0.00094672
                     18,                 1.5174,                 1.2127,                 1.2968,                0.50507,                0.32236,                 0.3357,                0.18352,                      0,                    inf,                      0,             0.00094339,             0.00094339,             0.00094339
                     19,                 1.5168,                 1.2071,                 1.2849,                0.50422,                0.33014,                0.34318,                0.18854,                      0,                    inf,                      0,             0.00094006,             0.00094006,             0.00094006
                     20,                 1.5076,                 1.1953,                 1.2774,                  0.512,                0.33404,                0.35051,                0.19329,                      0,                    inf,                      0,             0.00093673,             0.00093673,             0.00093673
                     21,                 1.5018,                 1.1871,                 1.2707,                0.52534,                0.33924,                0.35715,                0.19708,                      0,                    inf,                      0,              0.0009334,              0.0009334,              0.0009334
                     22,                 1.4939,                  1.178,                 1.2649,                0.53509,                0.33932,                0.36246,                0.20128,                      0,                    inf,                      0,             0.00093007,             0.00093007,             0.00093007
                     23,                 1.4901,                 1.1717,                 1.2611,                0.54458,                0.34753,                0.36796,                0.20465,                      0,                    inf,                      0,             0.00092674,             0.00092674,             0.00092674
                     24,                 1.4829,                 1.1654,                  1.255,                0.55212,                0.34803,                0.37291,                0.20788,                      0,                    inf,                      0,             0.00092341,             0.00092341,             0.00092341
                     25,                 1.4774,                 1.1592,                 1.2508,                0.55778,                0.35209,                0.37743,                0.21173,                      0,                    inf,                      0,             0.00092008,             0.00092008,             0.00092008
                     26,                 1.4721,                 1.1525,                 1.2472,                0.56477,                0.35226,                0.38177,                0.21499,                      0,                    inf,                      0,             0.00091675,             0.00091675,             0.00091675
                     27,                 1.4667,                 1.1465,                 1.2438,                0.57762,                0.35181,                0.38605,                0.21796,                      0,                    inf,                      0,             0.00091342,             0.00091342,             0.00091342
                     28,                 1.4607,                 1.1389,                 1.2392,                0.58156,                0.35494,                0.38999,                0.22056,                      0,                    inf,                      0,             0.00091009,             0.00091009,             0.00091009
                     29,                 1.4593,                 1.1355,                 1.2355,                 0.5882,                0.35646,                0.39506,                0.22389,                      0,                    inf,                      0,             0.00090676,             0.00090676,             0.00090676
                     30,                 1.4546,                 1.1304,                 1.2336,                0.59825,                0.35755,                0.39926,                0.22653,                      0,                    inf,                      0,             0.00090343,             0.00090343,             0.00090343
                     31,                 1.4518,                 1.1269,                 1.2311,                0.61379,                0.35811,                0.40256,                0.22897,                      0,                    inf,                      0,              0.0009001,              0.0009001,              0.0009001
                     32,                  1.447,                 1.1206,                 1.2272,                0.61954,                0.36085,                 0.4056,                0.23079,                      0,                    inf,                      0,             0.00089677,             0.00089677,             0.00089677
                     33,                 1.4422,                 1.1157,                 1.2241,                0.62015,                 0.3646,                  0.408,                 0.2329,                      0,                    inf,                      0,             0.00089344,             0.00089344,             0.00089344
                     34,                 1.4379,                 1.1095,                 1.2201,                0.61887,                0.36643,                0.40969,                0.23503,                      0,                    inf,                      0,             0.00089011,             0.00089011,             0.00089011
                     35,                 1.4373,                 1.1067,                 1.2181,                0.61568,                0.36927,                0.41233,                0.23675,                      0,                    inf,                      0,             0.00088678,             0.00088678,             0.00088678
                     36,                 1.4338,                 1.1052,                 1.2156,                0.60642,                0.37595,                 0.4147,                 0.2381,                      0,                    inf,                      0,             0.00088345,             0.00088345,             0.00088345
                     37,                 1.4277,                 1.0996,                 1.2127,                0.60769,                0.37923,                0.41669,                0.23939,                      0,                    inf,                      0,             0.00088012,             0.00088012,             0.00088012
                     38,                 1.4269,                 1.0966,                 1.2097,                0.60087,                0.38296,                0.41832,                0.24072,                      0,                    inf,                      0,             0.00087679,             0.00087679,             0.00087679
                     39,                 1.4222,                 1.0921,                 1.2079,                0.59957,                0.38615,                0.41973,                0.24225,                      0,                    inf,                      0,             0.00087346,             0.00087346,             0.00087346
                     40,                 1.4203,                 1.0877,                 1.2063,                0.60447,                0.38356,                0.42192,                0.24417,                      0,                    inf,                      0,             0.00087013,             0.00087013,             0.00087013
                     41,                  1.418,                 1.0874,                 1.2034,                0.61419,                0.38407,                0.42404,                0.24566,                      0,                    inf,                      0,              0.0008668,              0.0008668,              0.0008668
                     42,                 1.4161,                 1.0841,                  1.202,                0.61221,                0.38655,                0.42575,                0.24709,                      0,                    inf,                      0,             0.00086347,             0.00086347,             0.00086347
                     43,                  1.412,                   1.08,                 1.1998,                0.61385,                0.38627,                0.42821,                0.24837,                      0,                    inf,                      0,             0.00086014,             0.00086014,             0.00086014
                     44,                 1.4105,                 1.0773,                 1.1972,                0.61892,                0.38608,                0.43118,                0.25053,                      0,                    inf,                      0,             0.00085681,             0.00085681,             0.00085681
                     45,                 1.4068,                 1.0737,                 1.1959,                0.62843,                0.38515,                0.43344,                0.25169,                      0,                    inf,                      0,             0.00085348,             0.00085348,             0.00085348
                     46,                 1.4063,                 1.0702,                 1.1932,                0.62968,                0.38529,                0.43471,                  0.253,                      0,                    inf,                      0,             0.00085015,             0.00085015,             0.00085015
                     47,                 1.4065,                 1.0686,                 1.1928,                 0.6361,                0.38662,                0.43597,                0.25365,                      0,                    inf,                      0,             0.00084682,             0.00084682,             0.00084682
                     48,                 1.4024,                 1.0681,                 1.1918,                0.63808,                0.38651,                0.43766,                0.25467,                      0,                    inf,                      0,             0.00084349,             0.00084349,             0.00084349
                     49,                  1.401,                 1.0656,                 1.1913,                0.63228,                0.38864,                0.43899,                0.25587,                      0,                    inf,                      0,             0.00084016,             0.00084016,             0.00084016
                     50,                 1.3974,                 1.0608,                 1.1874,                0.63507,                 0.3883,                0.43996,                0.25664,                      0,                    inf,                      0,             0.00083683,             0.00083683,             0.00083683
                     51,                 1.3954,                 1.0588,                 1.1865,                0.63161,                0.39081,                0.44084,                0.25777,                      0,                    inf,                      0,              0.0008335,              0.0008335,              0.0008335
