                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0941,                 3.2273,                 3.1578,                0.26119,                 0.0868,                0.04861,                0.01776,                      0,                    inf,                      0,               0.070027,              0.0033303,              0.0033303
                      1,                 2.0409,                 2.2766,                 2.1237,                0.28446,                0.18811,                0.15146,                0.07456,                      0,                    inf,                      0,               0.040005,              0.0066416,              0.0066416
                      2,                 1.7588,                 1.9293,                 1.8312,                0.28979,                0.26615,                 0.2179,                0.11711,                      0,                    inf,                      0,              0.0099614,               0.009931,               0.009931
                      3,                 1.6182,                  1.724,                 1.6921,                 0.4033,                0.31713,                0.30455,                0.17308,                      0,                    inf,                      0,               0.009901,               0.009901,               0.009901
                      4,                 1.5291,                 1.5884,                 1.6126,                0.45559,                0.34687,                0.34705,                0.20315,                      0,                    inf,                      0,               0.009901,               0.009901,               0.009901
                      5,                  1.474,                 1.5015,                 1.5643,                0.54195,                0.36254,                0.38637,                0.23376,                      0,                    inf,                      0,               0.009868,               0.009868,               0.009868
                      6,                   1.44,                 1.4507,                 1.5311,                0.53482,                0.38862,                0.41581,                0.25391,                      0,                    inf,                      0,               0.009835,               0.009835,               0.009835
                      7,                 1.4133,                 1.4119,                 1.5051,                0.55656,                0.40238,                0.43626,                0.26998,                      0,                    inf,                      0,               0.009802,               0.009802,               0.009802
                      8,                 1.3943,                 1.3819,                 1.4857,                0.54013,                0.42361,                0.44718,                0.27775,                      0,                    inf,                      0,               0.009769,               0.009769,               0.009769
                      9,                  1.378,                 1.3597,                 1.4684,                 0.5469,                0.42725,                0.46061,                0.28883,                      0,                    inf,                      0,               0.009736,               0.009736,               0.009736
                     10,                  1.368,                 1.3391,                 1.4573,                0.56203,                0.43414,                0.46966,                0.29851,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                     11,                 1.3563,                 1.3198,                 1.4425,                0.59289,                0.43129,                0.48024,                0.30543,                      0,                    inf,                      0,                0.00967,                0.00967,                0.00967
                     12,                  1.346,                 1.3083,                 1.4322,                  0.614,                0.43234,                0.48918,                0.31216,                      0,                    inf,                      0,               0.009637,               0.009637,               0.009637
                     13,                 1.3399,                 1.2939,                 1.4248,                0.61204,                0.44161,                0.49266,                0.31682,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     14,                 1.3303,                 1.2845,                 1.4164,                0.61663,                 0.4488,                0.49792,                 0.3202,                      0,                    inf,                      0,               0.009571,               0.009571,               0.009571
                     15,                 1.3247,                 1.2761,                 1.4084,                0.62081,                0.44852,                0.50031,                0.32243,                      0,                    inf,                      0,               0.009538,               0.009538,               0.009538
                     16,                 1.3175,                  1.264,                 1.4038,                0.61603,                0.45929,                0.50373,                0.32493,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     17,                 1.3134,                 1.2543,                 1.3918,                0.61493,                 0.4624,                0.50732,                0.32713,                      0,                    inf,                      0,               0.009472,               0.009472,               0.009472
                     18,                 1.3098,                 1.2522,                 1.3902,                0.62808,                0.45519,                0.50876,                0.32927,                      0,                    inf,                      0,               0.009439,               0.009439,               0.009439
                     19,                 1.3014,                 1.2392,                 1.3817,                0.62015,                 0.4612,                0.51182,                0.33034,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     20,                 1.3019,                 1.2365,                 1.3763,                0.62753,                 0.4613,                0.51392,                0.33192,                      0,                    inf,                      0,               0.009373,               0.009373,               0.009373
                     21,                 1.2961,                 1.2304,                 1.3718,                0.63093,                0.46492,                0.51538,                0.33384,                      0,                    inf,                      0,                0.00934,                0.00934,                0.00934
                     22,                 1.2945,                  1.226,                 1.3649,                0.62817,                0.46472,                0.51617,                0.33498,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     23,                  1.293,                 1.2216,                 1.3648,                0.61509,                0.46682,                0.51715,                0.33705,                      0,                    inf,                      0,               0.009274,               0.009274,               0.009274
                     24,                 1.2872,                 1.2155,                 1.3573,                0.61794,                0.46614,                0.51865,                0.33829,                      0,                    inf,                      0,               0.009241,               0.009241,               0.009241
                     25,                  1.284,                 1.2102,                 1.3538,                0.61706,                0.46685,                0.52059,                0.34014,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     26,                 1.2824,                 1.2055,                 1.3519,                0.62381,                0.46706,                0.52134,                0.34022,                      0,                    inf,                      0,               0.009175,               0.009175,               0.009175
                     27,                 1.2815,                 1.2027,                 1.3468,                0.62373,                0.46941,                0.52403,                0.34185,                      0,                    inf,                      0,               0.009142,               0.009142,               0.009142
                     28,                 1.2792,                    1.2,                 1.3447,                0.62916,                0.46642,                0.52463,                0.34266,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     29,                 1.2762,                 1.1952,                 1.3408,                0.63005,                0.46795,                0.52609,                0.34412,                      0,                    inf,                      0,               0.009076,               0.009076,               0.009076
                     30,                 1.2726,                 1.1942,                   1.34,                0.62769,                0.47244,                0.52818,                0.34551,                      0,                    inf,                      0,               0.009043,               0.009043,               0.009043
                     31,                 1.2712,                 1.1921,                 1.3375,                0.62654,                 0.4747,                0.52969,                0.34711,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     32,                 1.2689,                 1.1869,                 1.3335,                0.63085,                0.47431,                0.53108,                0.34808,                      0,                    inf,                      0,               0.008977,               0.008977,               0.008977
                     33,                 1.2689,                 1.1837,                 1.3305,                0.63194,                0.47355,                0.53291,                0.34959,                      0,                    inf,                      0,               0.008944,               0.008944,               0.008944
                     34,                 1.2659,                 1.1818,                 1.3314,                0.63934,                0.47411,                0.53503,                0.35043,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     35,                 1.2631,                 1.1784,                 1.3257,                0.62944,                0.48028,                0.53633,                0.35183,                      0,                    inf,                      0,               0.008878,               0.008878,               0.008878
                     36,                 1.2609,                 1.1772,                 1.3232,                0.62728,                0.48077,                0.53804,                0.35286,                      0,                    inf,                      0,               0.008845,               0.008845,               0.008845
                     37,                 1.2611,                 1.1751,                 1.3236,                0.62628,                0.48592,                0.53948,                0.35405,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     38,                 1.2593,                 1.1747,                 1.3214,                0.63449,                0.48504,                0.54067,                 0.3549,                      0,                    inf,                      0,               0.008779,               0.008779,               0.008779
                     39,                 1.2571,                 1.1696,                  1.318,                0.64315,                0.48225,                0.54231,                0.35609,                      0,                    inf,                      0,               0.008746,               0.008746,               0.008746
                     40,                 1.2555,                 1.1675,                 1.3145,                0.65151,                0.48319,                0.54411,                0.35741,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     41,                  1.256,                 1.1666,                 1.3145,                0.65727,                0.48215,                0.54618,                0.35787,                      0,                    inf,                      0,                0.00868,                0.00868,                0.00868
                     42,                 1.2522,                 1.1605,                 1.3092,                0.65556,                0.48312,                0.54744,                 0.3591,                      0,                    inf,                      0,               0.008647,               0.008647,               0.008647
                     43,                 1.2534,                 1.1589,                 1.3082,                0.65442,                0.48441,                0.54816,                0.35972,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     44,                 1.2509,                 1.1613,                   1.31,                0.65294,                0.49196,                0.55022,                 0.3613,                      0,                    inf,                      0,               0.008581,               0.008581,               0.008581
                     45,                 1.2479,                  1.153,                 1.3062,                0.66646,                0.48796,                0.55138,                0.36193,                      0,                    inf,                      0,               0.008548,               0.008548,               0.008548
                     46,                  1.245,                  1.151,                 1.3017,                0.66081,                 0.4915,                0.55313,                0.36383,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     47,                 1.2456,                 1.1525,                 1.3015,                0.66055,                 0.4942,                0.55453,                0.36471,                      0,                    inf,                      0,               0.008482,               0.008482,               0.008482
                     48,                 1.2457,                 1.1505,                 1.3018,                0.66736,                0.49426,                0.55573,                0.36448,                      0,                    inf,                      0,               0.008449,               0.008449,               0.008449
                     49,                 1.2424,                 1.1477,                 1.2983,                0.66832,                0.49362,                0.55804,                 0.3657,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     50,                 1.2434,                 1.1466,                 1.2975,                0.66108,                0.49919,                0.55808,                0.36635,                      0,                    inf,                      0,               0.008383,               0.008383,               0.008383
                     51,                 1.2415,                 1.1442,                 1.2929,                0.66396,                0.49857,                0.55917,                0.36709,                      0,                    inf,                      0,                0.00835,                0.00835,                0.00835
                     52,                 1.2432,                 1.1438,                 1.2948,                0.66107,                 0.4988,                0.55873,                0.36787,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
