                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8312,                 2.9778,                  2.658,                0.39372,                0.16844,                 0.1436,                0.06962,                 1.9543,                 1.8596,                 1.8561,               0.070009,              0.0033324,              0.0033324
                      1,                 1.8606,                 1.8051,                  1.751,                0.43567,                0.27093,                0.26805,                0.14606,                  1.599,                 1.3845,                 1.4985,               0.039992,              0.0066492,              0.0066492
                      2,                 1.6568,                 1.5138,                 1.5338,                0.45632,                0.33905,                0.33781,                0.19591,                 1.4798,                 1.1893,                 1.3735,              0.0099591,              0.0099496,              0.0099496
                      3,                 1.5692,                 1.3832,                 1.4374,                0.49733,                0.36615,                   0.38,                0.22577,                 1.4296,                 1.1076,                 1.3127,              0.0099258,              0.0099258,              0.0099258
                      4,                 1.5195,                 1.3086,                 1.3843,                0.52965,                0.38195,                0.40909,                0.24549,                 1.4007,                 1.0644,                 1.2802,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.4909,                 1.2651,                 1.3533,                 0.5461,                0.39104,                0.42523,                 0.2574,                 1.3844,                 1.0404,                 1.2614,               0.009901,               0.009901,               0.009901
                      6,                  1.472,                 1.2367,                  1.332,                0.55201,                0.39881,                0.43515,                0.26526,                 1.3741,                 1.0257,                 1.2486,              0.0098763,              0.0098763,              0.0098763
                      7,                 1.4589,                 1.2145,                 1.3142,                0.55457,                0.40694,                0.44372,                0.27132,                  1.368,                 1.0159,                 1.2404,              0.0098515,              0.0098515,              0.0098515
                      8,                 1.4472,                 1.1976,                  1.302,                0.56653,                0.40936,                0.44984,                0.27554,                 1.3629,                 1.0092,                 1.2342,              0.0098268,              0.0098268,              0.0098268
                      9,                 1.4402,                 1.1871,                 1.2943,                0.57294,                0.41276,                0.45473,                0.27899,                  1.359,                 1.0048,                 1.2294,               0.009802,               0.009802,               0.009802
                     10,                 1.4322,                 1.1759,                 1.2852,                0.57028,                0.41823,                0.46021,                0.28227,                 1.3555,                 1.0016,                 1.2248,              0.0097773,              0.0097773,              0.0097773
                     11,                 1.4267,                 1.1672,                 1.2777,                0.58081,                0.41962,                0.46323,                0.28466,                 1.3523,                0.99861,                 1.2206,              0.0097525,              0.0097525,              0.0097525
                     12,                 1.4215,                 1.1597,                 1.2722,                0.58666,                0.41944,                0.46602,                0.28688,                 1.3494,                0.99599,                 1.2165,              0.0097278,              0.0097278,              0.0097278
                     13,                 1.4163,                 1.1521,                 1.2646,                0.59296,                0.41884,                0.46853,                0.28955,                 1.3465,                0.99324,                 1.2123,               0.009703,               0.009703,               0.009703
                     14,                 1.4144,                 1.1462,                 1.2608,                0.58871,                0.42127,                0.47081,                0.29194,                  1.344,                0.99062,                 1.2083,              0.0096783,              0.0096783,              0.0096783
                     15,                 1.4091,                   1.14,                 1.2564,                0.59689,                0.42434,                0.47383,                0.29437,                 1.3412,                0.98745,                 1.2044,              0.0096535,              0.0096535,              0.0096535
                     16,                 1.4077,                 1.1377,                 1.2533,                0.59763,                0.42496,                0.47699,                  0.297,                 1.3388,                0.98396,                 1.2006,              0.0096288,              0.0096288,              0.0096288
                     17,                 1.4071,                 1.1318,                 1.2502,                0.60575,                0.42584,                0.47987,                0.29878,                 1.3366,                0.98066,                 1.1973,               0.009604,               0.009604,               0.009604
                     18,                  1.405,                 1.1295,                 1.2475,                0.61114,                0.42544,                 0.4821,                0.30059,                 1.3343,                0.97705,                 1.1939,              0.0095793,              0.0095793,              0.0095793
                     19,                 1.4022,                 1.1263,                 1.2445,                 0.6164,                0.42655,                0.48565,                0.30306,                 1.3324,                 0.9727,                 1.1908,              0.0095545,              0.0095545,              0.0095545
                     20,                 1.4005,                 1.1226,                 1.2419,                0.62328,                0.42643,                0.48847,                0.30473,                   1.33,                0.96851,                 1.1874,              0.0095298,              0.0095298,              0.0095298
                     21,                  1.398,                 1.1196,                 1.2382,                0.62161,                0.43094,                0.49161,                0.30683,                 1.3275,                0.96338,                 1.1839,               0.009505,               0.009505,               0.009505
                     22,                  1.395,                 1.1145,                 1.2362,                0.62636,                0.43245,                 0.4944,                0.30892,                 1.3246,                 0.9587,                 1.1803,              0.0094803,              0.0094803,              0.0094803
                     23,                 1.3952,                 1.1143,                 1.2342,                0.62637,                0.43559,                0.49801,                 0.3109,                 1.3225,                0.95402,                 1.1771,              0.0094555,              0.0094555,              0.0094555
                     24,                 1.3915,                 1.1108,                 1.2309,                 0.6283,                 0.4381,                0.50079,                0.31279,                 1.3206,                0.95014,                  1.174,              0.0094307,              0.0094307,              0.0094307
                     25,                 1.3915,                   1.11,                 1.2306,                0.62867,                0.44031,                0.50316,                 0.3148,                 1.3184,                0.94597,                  1.171,               0.009406,               0.009406,               0.009406
                     26,                 1.3885,                 1.1059,                 1.2275,                0.62604,                0.44366,                0.50534,                0.31673,                 1.3165,                0.94205,                 1.1682,              0.0093813,              0.0093813,              0.0093813
                     27,                 1.3866,                 1.1027,                 1.2266,                0.62931,                0.44733,                0.50777,                0.31852,                 1.3146,                 0.9382,                 1.1656,              0.0093565,              0.0093565,              0.0093565
